,student_code,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
student_code,1.0,-0.06675113999868675,0.035849155769114335,-0.017826367562555852,-0.06155747622037476,-0.016051655783567507,-0.0436212812563592,0.05014711989325847,-0.010726814980431244,0.03731929399669293,-0.09988612567646182,-0.05200259982747649,-0.0235072585441685,0.013761768849467136,0.04490731856327998,0.019374088557258987,-0.0014694591699128967
age,-0.06675113999868675,1.0,-0.24365265004680334,-0.2265966710783901,0.20290682344118743,-0.07184751513022247,0.34405530621980673,-0.10138472355314233,0.1391184036092427,0.18765374170476545,0.2680363671077304,0.21585218173132614,0.021937791869723434,0.1883760492392084,-0.15612017095150277,-0.20063007002724337,-0.1944883361171603
Medu,0.035849155769114335,-0.24365265004680334,1.0,0.6765071368687536,-0.21613966480530056,0.3135955805800919,-0.41842738713867006,0.27774764924699613,-0.246718942994651,-0.2429585861130848,-0.24661944335533975,-0.2817451361120391,-0.24797324569242296,-0.04023453472542592,0.41204984169929226,0.41832604172073673,0.4024501799171588
Fedu,-0.017826367562555852,-0.2265966710783901,0.6765071368687536,1.0,-0.20972553110400916,0.23979818004019718,-0.3779592362336566,0.2281818270274677,-0.2510262818068879,-0.2117207959436381,-0.20587717723880497,-0.21401044262827357,-0.16667471304109835,-0.08334571170587102,0.3650359047970722,0.34500146806179577,0.32030840176869646
traveltime,-0.06155747622037476,0.20290682344118743,-0.21613966480530056,-0.20972553110400916,1.0,-0.14409849824929377,0.21566163367858351,-0.11158236337481757,0.07689238607589824,0.10680894967269668,0.2433793919740296,0.19550211639176124,0.08281636748964796,0.052164574572749554,-0.18149525986048948,-0.22653898371094702,-0.1996131770827495
studytime,-0.016051655783567507,-0.07184751513022247,0.3135955805800919,0.23979818004019718,-0.14409849824929377,1.0,-0.3294051222182052,0.3108408197386957,-0.3980195387261422,-0.38460567097597265,-0.3430250214003754,-0.41740546895252906,-0.3262816998994819,-0.19603880987346464,0.4286125525128752,0.41599758113707425,0.38436216685039787
failures,-0.0436212812563592,0.34405530621980673,-0.41842738713867006,-0.3779592362336566,0.21566163367858351,-0.3294051222182052,1.0,-0.3522089985022358,0.31172373569651424,0.36715898294807336,0.4495936321902936,0.38752172319178174,0.2486750465770192,0.18546639571872733,-0.5085349971396103,-0.5114964666405847,-0.49461823891634277
famrel,0.05014711989325847,-0.10138472355314233,0.27774764924699613,0.2281818270274677,-0.11158236337481757,0.3108408197386957,-0.3522089985022358,1.0,-0.20017531145465645,-0.2866806319405929,-0.3637070122029945,-0.37054628785892957,-0.17656074643839234,-0.17768808200173133,0.3169163343342537,0.28956902314048194,0.3117851321227162
freetime,-0.010726814980431244,0.1391184036092427,-0.246718942994651,-0.2510262818068879,0.07689238607589824,-0.3980195387261422,0.31172373569651424,-0.20017531145465645,1.0,0.5093170281219891,0.40623495196026754,0.3749797447663035,0.30834494723695516,0.09749499444979476,-0.2967837791054685,-0.30822456724722463,-0.27232923581191326
goout,0.03731929399669293,0.18765374170476545,-0.2429585861130848,-0.2117207959436381,0.10680894967269668,-0.38460567097597265,0.36715898294807336,-0.2866806319405929,0.5093170281219891,1.0,0.45818393153520565,0.5753098914477883,0.26839755379382996,0.1959760869365486,-0.4294614641924927,-0.44367546832266525,-0.4104895830248693
Dalc,-0.09988612567646182,0.2680363671077304,-0.24661944335533975,-0.20587717723880497,0.2433793919740296,-0.3430250214003754,0.4495936321902936,-0.3637070122029945,0.40623495196026754,0.45818393153520565,1.0,0.7301268070869704,0.25485610908454626,0.2283579413971166,-0.3442294281731383,-0.3280259979950352,-0.3023262754363515
Walc,-0.05200259982747649,0.21585218173132614,-0.2817451361120391,-0.21401044262827357,0.19550211639176124,-0.41740546895252906,0.38752172319178174,-0.37054628785892957,0.3749797447663035,0.5753098914477883,0.7301268070869704,1.0,0.28566047011410084,0.24659213976540761,-0.36109760125999846,-0.33627378092628457,-0.29718251865734935
health,-0.0235072585441685,0.021937791869723434,-0.24797324569242296,-0.16667471304109835,0.08281636748964796,-0.3262816998994819,0.2486750465770192,-0.17656074643839234,0.30834494723695516,0.26839755379382996,0.25485610908454626,0.28566047011410084,1.0,0.10579735557271933,-0.31879773653553556,-0.3379347064282959,-0.306730899505473
absences,0.013761768849467136,0.1883760492392084,-0.04023453472542592,-0.08334571170587102,0.052164574572749554,-0.19603880987346464,0.18546639571872733,-0.17768808200173133,0.09749499444979476,0.1959760869365486,0.2283579413971166,0.24659213976540761,0.10579735557271933,1.0,-0.1807333014008446,-0.18850147977282974,-0.13699699886827454
G1,0.04490731856327998,-0.15612017095150277,0.41204984169929226,0.3650359047970722,-0.18149525986048948,0.4286125525128752,-0.5085349971396103,0.3169163343342537,-0.2967837791054685,-0.4294614641924927,-0.3442294281731383,-0.36109760125999846,-0.31879773653553556,-0.1807333014008446,1.0,0.8951430172629875,0.8543842424581701
G2,0.019374088557258987,-0.20063007002724337,0.41832604172073673,0.34500146806179577,-0.22653898371094702,0.41599758113707425,-0.5114964666405847,0.28956902314048194,-0.30822456724722463,-0.44367546832266525,-0.3280259979950352,-0.33627378092628457,-0.3379347064282959,-0.18850147977282974,0.8951430172629875,1.0,0.9326344460439749
G3,-0.0014694591699128967,-0.1944883361171603,0.4024501799171588,0.32030840176869646,-0.1996131770827495,0.38436216685039787,-0.49461823891634277,0.3117851321227162,-0.27232923581191326,-0.4104895830248693,-0.3023262754363515,-0.29718251865734935,-0.306730899505473,-0.13699699886827454,0.8543842424581701,0.9326344460439749,1.0
